First name,Name,Citation,SDG
,Morey,"BAKER, E., BOULTON, T., BRAGA-ALVES, M., MOREY (2021). ESG Government Risk and International IPO Underpricing. <i>Ethical Finance and Sustainable Development Workshop</i>, N/A.","Climate Action, Peace, Justice and Strong Institutions"
,Neal,"BEDSWORTH, F., WILLIARDSEN, K., PORTILLO, J., NEAL (2019). Moral Hazard and Adverse Selection in the Insurance Market. <i>Southern Economics Association Annual Meetings</i>, Ft. Lauderdale.",
,Neal,"BEDSWORTH, F., WILLIARDSEN, K., PORTILLO, J., NEAL (2019). Moral Hazard and Adverse Selection in the Insurance Market. <i>Southern Economics Association Annual Meetings</i>, Ft. Lauderdale.",
,Pugh,"GALBERG, C., CAO, M., LUO, Y., PUGH, SHAN, Z. (2021). Effects of COVID-19 Policy and Communication on Pandemic Control in US Colleges - An Empirical Study through the Lens of Online Social Media. <i>16th Annual Midwest Association for Information Systems Conference</i>, Virtual.",
,Pugh,"GALBERG, C., CAO, M., LUO, Y., PUGH, SHAN, Z. (2021). Effects of COVID-19 Policy and Communication on Pandemic Control in US Colleges - An Empirical Study through the Lens of Online Social Media. <i>16th Annual Midwest Association for Information Systems Conference</i>, Virtual.",
,Reffett,"PYZOHA, J., BRINK, W., GRENIER, J., REFFETT, A. (2017). The Effects of Clawbacks on Auditors' Propensity to Propose Restatements and Risk Assessments. <i>University of Waterloo</i>, Waterloo.",
,Reffett,"PYZOHA, J., BRINK, W., GRENIER, J., REFFETT, A. (2017). The Effects of Clawbacks on Auditors' Propensity to Propose Restatements and Risk Assessments. <i>University of Waterloo</i>, Waterloo.",
,Saker,"CURME, M., GAVAZZI, S., CLOUNER, C., SAKER, KEARY, D. (2018). Facilitating Higher Quality Town-Gown Relationships through Data-Driven Alcohol Prevention Planning Efforts. <i>International Town-Gown Association (ITGA) Conference 2018</i>, Columbus.",
,Saker,"CURME, M., GAVAZZI, S., CLOUNER, C., SAKER, KEARY, D. (2018). Facilitating Higher Quality Town-Gown Relationships through Data-Driven Alcohol Prevention Planning Efforts. <i>International Town-Gown Association (ITGA) Conference 2018</i>, Columbus.",
,Sims,"WOLFF, J., GARIN, J., LESTER, R., SIMS (2017). Is a Period of Low Interest Rates a Good Time to Increase Government Spending? <i>Midwest Macro Conference</i>, Pittsburgh.",
,Sims,"WOLFF, J., GARIN, J., LESTER, R., SIMS (2017). Is a Period of Low Interest Rates a Good Time to Increase Government Spending? <i>Midwest Macro Conference</i>, Pittsburgh.",
,Smith,"EVEN, W., FLETCHER, D., NIEMESH, G., SMITH, A. (2019). Professor Value Added and Student Labor Market Outcomes. <i>Seminar at Miami University</i>, Oxford.",
,Smith,"EVEN, W., FLETCHER, D., NIEMESH, G., SMITH, A. (2019). Professor Value Added and Student Labor Market Outcomes. <i>Seminar at Miami University</i>, Oxford.",
,Steed,"FAN, Y., BREIDENTHAL, A., KEEM, S., STEED, E., KOSEOGLU, G. (2020). Five Activities to Get Students Hooked for OB and HR Classrooms. <i>Academy of Management Annual Conference</i>, Vancouver, BC, CA.",
,Steed,"FAN, Y., BREIDENTHAL, A., KEEM, S., STEED, E., KOSEOGLU, G. (2020). Five Activities to Get Students Hooked for OB and HR Classrooms. <i>Academy of Management Annual Conference</i>, Vancouver, BC, CA.",
,Stirrat,"HINGSTON, S., STENSTROM, E., DELVECCHIO, D., STIRRAT (2017). The Effect of Exposure to Facial Width-to-Height Ratio on Charitable Giving. <i>Society for Consumer Psychology Conference</i>, San Francisco.",
,Stirrat,"HINGSTON, S., STENSTROM, E., DELVECCHIO, D., STIRRAT (2017). The Effect of Exposure to Facial Width-to-Height Ratio on Charitable Giving. <i>Society for Consumer Psychology Conference</i>, San Francisco.",
,Stulz,"BIRU, J., GOKKAYA, S., LIU, X., STULZ (2020). Are Analyst Trade Ideas Valuable? <i>European  Financial Management Association</i>, Helsinki, Finland.",NONE
,Suri,"GREWAL, D., GUHA, A., DELVECCHIO, D., SURI, NORDFALT, J. (2018). One Discounts or Two? It Depends on How (Much) You Feel. <i>American Marketing Association Summer Educators' Conference</i>, Boston.",
,Suri,"GREWAL, D., GUHA, A., DELVECCHIO, D., SURI, NORDFALT, J. (2018). One Discounts or Two? It Depends on How (Much) You Feel. <i>American Marketing Association Summer Educators' Conference</i>, Boston.",
,Walton,"RICE, D., YOUNG, N., JOHNSON, D., WALTON, STACY, S. (2018). Leaders' justice judgments: Pivotal cognitions for ethical leadership and implications for organizational inclusion.. <i>Southern Management Association</i>, Lexington.",
,Walton,"RICE, D., YOUNG, N., JOHNSON, D., WALTON, STACY, S. (2018). Leaders' justice judgments: Pivotal cognitions for ethical leadership and implications for organizational inclusion.. <i>Southern Management Association</i>, Lexington.",
,Wintoki,"GOLDIE, B., KOCH, P., JIANG, C., WINTOKI (2018). Indirect Inside Trading. <i>SFS Cavalcade Asia-Pacific</i>, Unknown.",
,Wintoki,"GOLDIE, B., KOCH, P., JIANG, C., WINTOKI (2018). Indirect Inside Trading. <i>SFS Cavalcade Asia-Pacific</i>, Unknown.",
,Wu,"LIU, R., MAI, F., SHAN, Z., WU (2020). Predicting Insider Trading from Financial Text: an Interpretable Deep Learning Approach. <i>2020 FMA Annual Meeting</i>, Virtual.",
,Wu,"LIU, R., MAI, F., SHAN, Z., WU (2020). Predicting Insider Trading from Financial Text: an Interpretable Deep Learning Approach. <i>2020 FMA Annual Meeting</i>, Virtual.",
,x,"LEE, S., X (1987). Managing End-User Access to Corporate Databases. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1988). Future Trend of End-User Computing. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1988). Integrating Expert Systems with Management Sciences Models. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1988). Perceived Problems of End Users in Organizations Where the Development of End-User Computing Has Evolved Based on Norlan's Four-Stage Theory. <i>Proceedings of Pan-Pacific Conference</i>.",
,x,"LEE, S., X (1988). Selecting a Word Processor Using Expert Systems Techniques. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1988). Some Clarifications on the Problem Solving Process: AI/ES Approach vs. OR Approach. <i>Proceedings of Midwest DSI</i>.",
,x,"LEE, S., X (1988). Synergy Between Rule-Based Systems and Database systems., pp. 214.",
,x,"LEE, S., X (1988). Ten Commandments: For Those Investors Who Want to Invest in Red China., pp. 108-110.",
,x,"LEE, S., X (1989). AI: Implications for Teaching the Decision Sciences. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1989). Computer-based Information System: the Past, the Present, and the Future. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1989). Desktop Publishing: It's Past, Present, and Future. <i>Proceedings of World Conference On Information and Processing</i>.",
,x,"LEE, S., X (1989). Future Trends of Information Systems: Where Do We Go from Here? <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1989). Integrating Database Systems and Rule-based Systems: Clarifications and Synergy. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1989). The Effective Evolutionary Approach for the Development of End-User Computing. <i>Journal of Singapore Management Review</i>.",
,x,"LEE, S., X (1990). Business Graphics: Evolution and Implications for Teaching the Management Information Systems. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1991). Advantages of Teaching Two Languages Together in a Database Course. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1991). Application of Expert Systems in Distributed Database Environment. <i>Journal of Records Management Quarterly</i>.",
,x,"LEE, S., X (1991). Human-Computer Interface: Requirements, Considerations, and Implementation. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1991). Impacts of Direct End-User Access to Cooperate Databases on End Users' Performance: An Exploratory Study. <i>Journal of Computer Information Systems</i>.",
,x,"LEE, S., X (1991). Information Systems in 1990's: Re-Centralization or Decentralization. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1991). Managing IS Growth: A Contingency-Growth Model. <i>Information Resources Management Journal</i>.",
,x,"LEE, S., X (1991). Solutions for Supporting Heterogeneous DBMS in a Distributed Environment. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1991). Teaching Business Graphics: A Systematic Approach. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1991). The Link between the Information Systems and the Corporate Strategy. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1992). An Implementation Strategy for a Desktop Publishing Systems. <i>Proceedings of IBSCUG</i>.",
,x,"LEE, S., X (1992). Need of Data Security in Distributed Database Systems. <i>Data Base Management Systems</i>.",
,x,"LEE, S., X (1993). Management Information Systems Education in PRG: The Status, The Problem, and The Future Direction. <i>Proceedings of Pan-Pacific Conference</i>.",
,x,"LEE, S., X (1993). OSI Implementation: Major Decisions and Conversion Methods. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1993). Teleconferencing: Applications and Implementation. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1994). Ethics in IS Curricula. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1994). ISDN-LAN connection. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1994). Micro-to-Mainframe Link. <i>Proceedings of IRMA</i>.",
,x,"LEE, S., X (1995). A Detailed Analysis of Teleconferencing Technology and Applications. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1995). Design Framework for the Development of EDI. <i>Journal of Computer Information Systems</i>, <i>35</i> (4).",
,x,"LEE, S., X (1995). Disaster Recovery Planning for Information Systems. <i>Information Resources Management Journal</i>, <i>8</i> (3).",
,x,"LEE, S., X (1995). Distributed Database Systems. <i>Journal of Information Systems Management</i>.",
,x,"LEE, S., X (1995). ISDN-Strategic Analysis and Development Considerations. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (1995). Recruiters' Views About Skills For Entry-Level IS Employees. <i>Proceedings of IBSCA (former name: IBSCUG)</i>.",
,x,"LEE, S., X (1996). Enforcing Total Quality Management Concept in Systems Development Life Cycle. <i>Proceedings of National DSI</i>.",
,x,"LEE, S., X (1996). The Relative Importance of Technical and Interpersonal Skills For New Information Systems Personnel. <i>Journal of Computer Information Systems</i>, <i>36</i> (4), 66-71.",
,x,"LEE, S., X (1997). Corporate Hiring Criteria for Potential IS Hires. <i>Journal of Information Systems Management</i>, <i>14</i> (1), 47-53.",
,x,"LEE, S., X (1997). Distributed Network Systems: Design and Implementation Considerations. <i>Proceedings of National Decision Sciences Institute</i>.",
,x,"LEE, S., X (1998). Computer Technologies in IS Industry and Academia: A Joint Academic/Industry Investigation. <i>Proceedings of International Association for Computer Information Systems</i>.",
,x,"LEE, S., X (1998). Electronic Commerce: Current Success and Future Implications. <i>Communication of the ICISA</i>, 7-13.",
,x,"LEE, S., X (1998). Incorporating Web-based Technology to Facilitate the Decision Making in the Executive Level. <i>Proceedings of National DSI Conference</i>.",
,x,"LEE, S., X (1999). Career-Driven Education of IS Professionals. <i>Proceedings of IACIS 1999</i>.",
,x,"LEE, S., X (2001). B2B: A Descriptive Analysis of Successful and Unsuccessful Cases for implementation. <i>Proceedings of WDSI</i>.",
,x,"LEE, S., X (2001). Critical Knowledge/Skills Sets Required by Industries: An Empirical Analysis. <i>Industrial Management & Data Systems</i>, <i>101(8)</i>, 432-442.",
,x,"LEE, S., X (2001). Educational Gaps as Perceived by IS Educators: A Survey of Knowledge and Skill Requirements. <i>Journal of Computer Information Systems</i>, <i>XXXXI(2)</i>, 76-84.",
,x,"LEE, S., X (2001). The Impact of E-Commerce Technology on the Business-to-Business Value Chain. <i>Proceedings of DSI</i>.",
,x,"LEE, S., X (2002). An Empirical Study about the impact of Internship on job opportunity. <i>West DSI conference proceedings</i>.",
,x,"LEE, S., X (2003). Current Situations of Both MIS Internship and Full-time employment: An Exploratory Study. <i>International Applied Business Research Conference</i>.",
,x,"LEE, S., X (2003). Differences in perception of IS Knowledge and Skills between Academia and Industry: Findings from Taiwan. <i>International Journal of Information Management</i>, <i>23</i>, 507-522.",
,x,"LEE, S., X (2004). Comparative Analysis between Students Offered Jobs VS. Students Not Offered a Job in Management Information Systems: An Exploratory Study. <i>Review of Business Information Systems</i>, <i>8</i> (3), 39-50.",
,x,"LEE, S., X (2004). Critical Factors Affecting Job Offers for New MIS Graduates. <i>Journal of Information Systems Education</i>.",
,Xie,"GOKKAYA, S., LIU, X., POOL, V., XIE, ZHANG, J. (2019). Who Benefits from Industry Knowledge of Sell-Side Analysts? Evidence from Broker Commission Payments and Client Fund Performance. <i>CeFARR and Cass Business School Accounting Research Conference</i>, London, United Kingdom.",NONE
,Xie,"GOKKAYA, S., LIU, X., POOL, V., XIE, ZHANG, J. (2019). Who Benefits from Industry Knowledge of Sell-Side Analysts? Evidence from Broker Commission Payments and Client Fund Performance. <i>CeFARR and Cass Business School Accounting Research Conference</i>, London.",
,Xin,"BOULTON, T., FRANCIS, B., SHOHFI, T., XIN (2017). Investor Awareness or Information Asymmetry? Wikipedia and IPO Underpricing. <i>China International Conference in Finance</i>, Hangzhou.",
,Xin,"BOULTON, T., FRANCIS, B., SHOHFI, T., XIN (2021). Investor Awareness or Information Asymmetry? Wikipedia and IPO Underpricing. <i>Financial Review (US)</i>, <i>56</i>.",NONE
,Yan,"CEDERBURG, S., O'DOHERTY, M., WANG, F., YAN (2017). On the performance of volatility-managed portfolios. <i>Wellington Finance Summit</i>, Wellington.",
,Yan,"CEDERBURG, S., O'DOHERTY, M., WANG, F., YAN (2017). On the performance of volatility-managed portfolios. <i>Wellington Finance Summit</i>, Wellington.",
,Zhdanov,"BOULATOV, A., GEMPESAW, D., YANG, L., ZHDANOV (2022). Short sale constraints and stock mispricing. <i>CMU-PITT-PSU Finance Conference</i>, Pittsburgh.",
,Zu,"HARRISON, A., SAMUEL, B., SHAN, Z., ZU, DAWANI, D. (2019). Learning to See the Hook: Comparing Phishing Training Approaches. <i>International Conference on Information Systems (ICIS)</i>, Munich.",
,Zu,"HARRISON, A., SAMUEL, B., SHAN, Z., ZU, DAWANI, D. (2019). Learning to See the Hook: Comparing Phishing Training Approaches. <i>International Conference on Information Systems (ICIS)</i>, Munich.",
,Zutter,"BOULTON, T., RAMASUBBU, N., SMART, S., ZUTTER (2017). Global Digital Divide and Capital Markets: The Effect of Internet Penetration on IPO Underpricing. <i>CIRANO-Sam M. Walton College of Business Workshop on Networks in Trade and Finance</i>, Montreal.",
,Zutter,"BOULTON, T., RAMASUBBU, N., SMART, S., ZUTTER (2017). Global Digital Divide and Capital Markets: The Effect of Internet Penetration on IPO Underpricing. <i>CIRANO-Sam M. Walton College of Business Workshop on Networks in Trade and Finance</i>, Montreal.",
A,Abdelgawad,"DANA, L. P., ROUNDY, P., SMITH, B., GUMUSAY, ABDELGAWAD, A. (2022). Entrepreneurship and religion: The interaction of multiple identities. <i>82nd Academy of Management Meeting</i>, Seattle.",
A,Abdelgawad,"DANA, L. P., ROUNDY, P., SMITH, B., GUMUSAY, ABDELGAWAD, A. (2022). Entrepreneurship and religion: The interaction of multiple identities. <i>82nd Academy of Management Meeting</i>, Seattle.",
A,Baghdadi,"MAMAN, Z., BAGHDADI, A., MEGAHED, F., CAVUOTO, L. (2016). Monitoring and Change Point Estimation of Normal (in-control) and Fatigued (out-of-control) State in Workers. <i>Proceedings of the ASME 2016 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference (IDETC/CIE)</i>.",
A,Baldwin,"ALMER, E., BALDWIN, A., JONES-FARMER, L., LIGHTBODY, M., SINGLE, L. (2016). Tenure Track Opt-Outs: Leakages from the Academic Pipeline. <i>Advances in Accounting</i>.",
A,Brandyberry,"NWANKPA, J., ROUMANI, Y., BRANDYBERRY, A., SHANKER, M., GUIFFRIDA, A. (2013). Understanding the link between ERP systems and ERP-enabled Adoption. <i>Information Resources Management Journal</i>, <i>26</i> (4), 18-39.",
A,Breidenthal,"HARARI, D., SWIDER, B., STEED, L., BREIDENTHAL, A. (2018). Is perfect good? A meta-analysis of perfectionism in the workplace.. <i>Journal of Applied Psychology</i>, <i>103</i> (10), 1121–1144. doi:https://doi.org/10.1037/apl0000324.",
A,CARVALHO,"SHRESTHA, P., BHUNIA, S., CARVALHO, A., ANDERSON, C., LEE, Y. (2024). A Case Study on Blockchainbased Anonymous Reviewer Incentive Token (BARIT). <i>” IEEE International Conference on Systems, Man, and Cybernetics IEEE (SMC)</i>.",NONE
A,Cavuoto,"MAMAN, Z., CHEN, Y.-J., MEGAHED, F., CAVUOTO, A. (2018). Comparing Machine Learning Models on Data From Wearable Sensors to Model Physical Fatigue Occurrence. <i>INFORMS: Annual Meeting</i>, Houston.",
A,Chatfield,"YADAV, S. B., BRAVOCO, R., CHATFIELD, A., RAJKUMAR, T. M. (1987). Comparison of Analysis Techniques for Information Requirement Determination. <i>Communications of the ACM</i>.",
A,Fachinelli,"UELTSCHY, L., UELTSCHY, M., FACHINELLI, A. (2007). The Impact of Culture on the Generation of Trust in Global Supply Chain Relationships. <i>Journal of Marketing Management</i>, <i>17</i> (1), 15-26.",
A,Ghattas,"BOWBLIS, J., GHATTAS, A. (2017). The Impact of Minimum Quality Standard Regulations on Nursing Home Staffing. Quality, and Exit Decisions. <i>Review of Industrial Organization</i>, <i>50</i> (1), 43-68.",
