pub_year,citation,no_sdg_listed,sdg1_no_poverty,sdg2_zero_hunger,sdg3_good_health_and_well_being,sdg4_quality_education,sdg5_gender_equality,sdg6_clean_water_and_sanitation,sdg7_affordable_and_clean_energy,sdg8_decent_work_and_economic_growth,sdg9_industry_innovation_and_infrastructure,sdg10_reduce_inequalities,sdg11_sustainable_cities_and_communities,sdg12_responsible_consumption_and_production,sdg13_climate_action,sdg14_life_below_water,sdg15_life_on_land,sdg16_peace_justice_and_strong_institutions,sdg17_partnerships_for_the_goals
2017,"Bradley, D., Gokkaya, S., Liu, X., Michaely (2017). Does Policy Analysis Matter? The Value Of Washington Analysts To Investment Research And Capital Markets. Financial Management Association, Boston, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Biggerstaff, L., Cicero, D. C., Puckett, A. (2017). Fore! An Analysis Of Ceo Shirking. Management Science, 63 (7), 2302-2322. Doi:10.1287/Mnsc.2016.2452.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Ockuly, R., Weese, M., Smucker, B., Edwards, D., Chang, L. (2017). Response Surface Experiments: A Meta-Analysis.. Chemometrics And Intelligent Laboratory Systems, 164, 64-75. Doi:10.1016/J.chemolab.2017.03.009.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,"Weese, M., Edwards, D., Smucker, B. (2017). A Criteria For Constructing Powerful Supersaturated Designs When Effect Directions Are Known. Journal Of Quality Technology, 49 (3), 265-277. Doi:10.1080/00224065.2017.11917994.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,"Gempesaw, D., Kassa, H., Zykaj, B. (2017). Does Idiosyncratic Volatility Proxy For A Missing Risk Factor? Evidence Using Portfolios As Test Assets. Southern Finance Association, Key West, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Cline, B., Gokkaya, S., Liu, X. (2017). The Persistence Of Opportunistic Insider Trading. Financial Management, 46 (4), 919�964. Doi:10.1111/Fima.12177.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Nietfeld, C. (2017). Educational Investment Spillover Effects Using Micro-Data. Southern Economic Association Meetings, Tampa, Fl, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Boulton, T., Smart, S., Zutter, C. (2017). Conservatism And International Ipo Underpricing. Journal Of International Business Studies, 48, 763-785.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Moul, C., Li, J., Zhang, W. (2017). Hoping Grey Goes Green: An Analysis Of The Impact Of Environmental Factors On Consumer Choice. Marketing Letters, 28 (2), 267-279. Doi:10.1007/S11002-016-9405-2.",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2017,"Li, J., Shi, C. (2017). Does Pegging To Dollar Really Matter? A Closer Look At Us Trade Deficits With China And Germany. Journal Of International Trade And Economic Development.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Young, S., Welter, C., Conger, M. (2017). Stability Vs. Flexibility: The Effect Of Regulatory Institutions On Opportunity Type. Journal Of International Business Studies, 49 (4), 407-441. Doi:Https://Doi.org/10.1057/S41267-017-0095-7.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Bradley, D., Gokkaya, S., Liu, X. (2017). Before An Analyst Becomes An Analyst: Does Industry Experience Matter? Journal Of Finance, 72 (2), 751-792. Doi:10.1111/Jofi.12466.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Bradley, D., Gokkaya, S., Liu, X., Xie, F. (2017). Are All Analysts Created Equal? Industry Expertise And Monitoring Effectiveness Of Financial Analysts. Journal Of Accounting And Economics, 63 (2-3), 179-206. Doi:10.1016/J.jacceco.2017.01.003.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Delvecchio, D., Health, T., Chacin, M. (2017). When Signal Swamps Substance: The Effects Of Multi-Unit Discount's Positive And Negative Cues On Sales. Journal Of Product & Brand Management, 26 (7), 750-758. Doi:10.1108/Jpbm-06-2016-1207.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Delvecchio, D., Jones, W., Stenstrom, E. (2017). Integrating Partitioned Prices Via Computational Estimation. Psychology & Marketing, 34 (8), 823-835. Doi:Org/10.1002/Mar.21025.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Rysz, M., Krokhmal, P., Pasiliao, E. (2017). Detecting Resilient Structures In Stochastic Networks: A Two-Stage Stochastic Optimization Approach. Networks, 69 (2). Doi:10.1002/Net.21727.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Davis, G., Li, J. (2017). Rethinking Cointegration And The Expectatons Hypothesis Of The Term Structure. Journal Of Empirical Finance, 44, 177-189.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Niemesh, G., Jaworski, T. (2017). Revisiting The Great Compression: Wage Inequality In The United States, 1940-1960. Historical Methods.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2017,"Benamati, J., Ozdemir, Z., Smith, H. (2017). An Empirical Test Of The Antecedents - Privacy Concerns - Consequents Model. Journal Of Information Science, 43 (5), 583-600.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Henry, T., Koski, J. (2017). Ex-Dividend Profitability And Institutional Trading Skill. Journal Of Finance, 72 (1), 461-494. Doi:Https://Doi.org/10.1111/Jofi.12472.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Li, J. (2017). Rethinking Cointegration And Expectation Hypothesis. Annual Meeting Of The Midwest Econometrics Group, College Station, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Berg, K., Mark, N. (2017). Global Macro Risks In Currency Excess Returns. National Bureau Of Economic Research Working Paper.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Berg, K., Mark, N. (2017). Where's The Risk? The Forward Premium Bias, The Carry-Trade Premium, And Risk-Reversals In General Equilibrium. University Of Notre Dame Conference, Notre Dame.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Weese, M., Martinez, W., Jones-Farmer, L. (2017). On The Selection Of The Bandwidth Parameter For The K-Chart. Quality And Reliability Engineering International, 33 (7), 1527-1547. Doi:10.1002/Qre.2123.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,"Martinez, W., Weese, M., Jones-Farmer, L. (2017). An Update On Statistical Learning Methods Applied To Process Monitoring. Fall Technical Conference, Philadelphia, United States Of America.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,"Sarason, Y., Conger, M. (2017). Ontologies And Epistemologies In 'Knowing' The Nexus In Entrepreneurship: Burning Rice Hay And Tracking Elephants. International Journal Of Entrepreneurship And Small Business, 34 (4), 460-479. Doi:Https://Dx.doi.org/10.1504/Ijesb.2018.093602.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017,"Surer, O. (2017). Improving Similarity Measures Using Ontological Data. Acm Sigmis Conference.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Chen, P. C., Liao Burke, Q., Eaton, T. (2017). An Empirical Examination Of Mark-To-Market Accounting For Corporate Pension Plans. Journal Of Accounting And Public Policy. Doi:Https://Doi.org/10.1016/J.jaccpubpol.2016.11.001.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2017,"Burki, U., Dahlstrom, R. (2017). Mediating Effects Of Green Innovations On Interfirm Cooperation. Australasian Marketing Journal, 197 (1), 1307-1316.",0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
2017,"Boulton, T., Nixon, T. (2017). The Litigation Of Tax Benefit Preservation Plans. Managerial Finance, 43, 76-94.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Weese, M., Martinez, W., Jones-Farmer, A. (2018). One-Class Peeling For Outlier Detection In High Dimensions. Joint Research Conference Of The American Statistical Association And Institute Of Mathematical Statistics, Santa Fe, United States Of America.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,"Grewal, R., Saini, A., Kumar, A., Dwyer, F., Dahlstrom, R. (2018). Marketing Channel Management In Foreign Markets: Integrative Framework For Multinational Corporations. Journal Of Marketing, 82 (4), 49-69.",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
2018,"Flygansvaer, B., Dahlstrom, R., Nygaard, A. (2018). Exploring The Pursuit Of Sustainability In Reverse Supply Chains For Electronics. Journal Of Cleaner Production, 189 (10), 472-484.",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
2018,"Silkoset, R., Dahlstrom, R., Nygaard, A. (2018). The Blockchain Disruption: From Lemons To Peach Market. Blockchain Technology & Organizational Research Symposium University Of Connecticut.",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2018,"Silkoset, R., Dahlstrom, R., Nygaard, A. (2018). The End Of Organizations? The Disruptive Impact Of Blockchain Technology On Trust, Opportunism And Transactions. Sms Special Conference.",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
2018,"Weng, B., Martinez, W., Tsai, Y.-T., Lu, L., Barth, J. R., Megahed, F., Chen, L. (2018). Macroeconomic Indicators Alone Can Predict The Monthly Closing Price Of Major U.s. Indices: Insights From Artificial Intelligence, Time-Series Analysis And Hybrid Models. Applied Soft Computing, 71, 685-697. Doi:10.1016/J.asoc.2018.07.024.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,"Conger, M., Mcmullen, J., Bergman, B., York, J. (2018). Category Membership, Identity Control, And The Reevaluation Of Prosocial Opportunities. Journal Of Business Venturing, 33 (2), 179-206. Doi:Https://Doi.org/10.1016/J.jbusvent.2017.11.004.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,"Weese, M., Montgomery, D., Ramsey, P. (2018). Analyzing Definitive Screening Designs: Screening Vs. Prediction.. Applied Stochastic Models In Business & Industry, 34 (2), 244-255. Doi:10.1002/Asmb.2297.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,"Gempesaw, D. (2018). Information Choice, Uncertainty, And Expected Returns. Glassboro, Nj, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Gempesaw, D. (2018). Information Choice, Uncertainty, And Expected Returns. Oxford, Oh, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Gempesaw, D. (2018). Information Choice, Uncertainty, And Expected Returns. San Diego, Ca, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Gempesaw, D. (2018). Information Choice, Uncertainty, And Expected Returns. State College, Pa, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Rysz, M., Pajouh, F., Pasiliao, E. (2018). Finding Cliques With The Highest Betweenness Centrality. European Journal Of Operational Research, 271 (1), 155-164. Doi:J.ejor.2018.05.006.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Surer, O., Burke, R., Malthouse, E. C. (2018). Multistakeholder Recommendation With Provider Constraints. Acm Sigmis Conference.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Hackney, J., Henry, T., Koski, J. (2018). Informed Vs. Arbitrage Short Selling: Evidence From Convertible Bond Issuers. Financial Management Association � Europe, Kristiansand, Norway.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Li, J. (2018). Was There A Chinese Saving Glut? Evidence From Unique Survey Data. Annual Meeting Of The Midwest Econometrics Group, Madison, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Li, J. (2018). Zooming In On Phillips Curve And Estimating Nairu For Subgroups Of Civilian Population. Southern Economics Association Annual Meetings, Washington Dc, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Li, J., Enders, W. (2018). Flexible Fourier Form For Volatility Breaks. Studies In Nonlinear Dynamics & Econometrics.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Raynold, P., Morales, K., Li, J. (2018). The Empirical Relationship Between Commitment Enhancement Devices And Terroism. Applied Economics, 50 (50), 5366-5380. Doi:10.1080/00036846.2018.1486991.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Dahlstrom, R., Crosno, J. (2018). Sustainable Marketing.",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018,"Dahlstrom, R., Crosno, J., Friend, S. (2018). Oh No You Didn't: Examining Antecedents To Reciprocal Opportunism In Distribution Channels. Boston, Ma.",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2018,"Friend, S., Dahlstrom, R., Crosno, J. (2018). With Or Without Guile: The Role Of Attributions In Resolving Ex Post Inference Problems. American Marketing Association Summer Educators' Conference.",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2018,"Birru, J., Gokkaya, S., Liu, X. (2018). Quantitative Research And Capital Market Anomalies. Financial Management Association, San Diego, United States Of America.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Berg, K., Mark, N. (2018). Global Macro Risks In Currency Excess Returns. Journal Of Empirical Finance, 45, 300-315. Doi:Https://Doi.org/10.1016/J.jempfin.2017.11.011.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Berg, K., Mark, N. (2018). Measures Of Global Uncertainty And Carry-Trade Excess Returns. Journal Of International Money And Finance, 88, 212-227. Doi:Https://Doi.org/10.1016/J.jimonfin.2017.07.010.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Berg, K., Vu, N. (2018). International Spillovers Of U.s. Financial Volatility. Western Economic Associaion International, Vancouver.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Kang, Y., Mukherjee, P. S., Qiu, P. (2018). Efficient Blind Image Deblurring Using Nonparametric Regression And Local Pixel Clustering. Technometrics, 60 (4), 522-531. Doi:10.1080/00401706.2017.1415975.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,"Burki, U., Ersoy, P., Dahlstrom, R. (2018). Achieving Triple Bottom Line Performance In Manufacturer-Customer Supply Chains: Evidence From An Emerging Economy. Journal Of Cleaner Production, 197 (1), 1307-1316.",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
2019,"Gokkaya, S., Liu, X., Pool, V., Xie, Zhang, J. (2019). Who Benefits From Industry Knowledge Of Sell-Side Analysts? Evidence From Broker Commission Payments And Client Fund Performance. Cefarr And Cass Business School Accounting Research Conference, London, United Kingdom.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Carvalho, A., Levitt, A., Levitt, S., Khaddam, E., Benamati, J. (2019). Off-The-Shelf Artificial Intelligence Technologies For Sentiment And Emotion Analysis: A Tutorial On Using Ibm Natural Language Processing.. Communications Of The Association For Information Systems, 44, 918--943.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Rindflesich, A., Malter, A., Fisher, G. (2019). Self-Manufacturing Via 3d Printing: Implications For Retailing Thought And Practice. Emerald Group Publishing Limited.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
